,en,zh,es,hi,ar,pt,ru,ja,jv,de,ko,fr,te,it,tl
sierra,Sierra,塞勒,Sierra,पहाड़ों का सिलसिला,سلسلة جبلية,Serra,Сьерра,シエラ,Sierra,Sierra,산맥,Sierra,సియర్రా,Sierra,Sierra.
visible,Visible,可见的,Visible,दृश्यमान,مرئي,Visível,Видимый,見える,Katon,Sichtbar,보이는,Visible,కనిపించే,Visibile,Nakikita
cats,Cats,猫,Gatos,बिल्ली की,القطط,Gatos,Кошки,猫,Kucing,Katzen,고양이,Chats,పిల్లులు,Gatti,Pusa
desert,Desert,沙漠,Desierto,रेगिस्तान,صحراء,Deserto,Пустыня,デザート,Gurun,Wüste,사막,désert,ఎడారి,Deserto,Disyerto
postposted,Postposted,后置柱,Pospostado,स्थगित,postposted.,Pós-esthado,Постпосте,隠された,Postposted,Postposted.,엽니 다,Postposted,Postposted.,Postpostato,Postposted.
ya,Ya,雅,Ya,फिर,يا,Ya.,Я.,Y A,Ya,Ya.,당신,Ya,Ya.,Ya.,Ya.
oldest,Oldest,最老的,Más antiguo,सबसे पुराने,أقدم,Antigo,Старший,オールド,Paling tuwa,Älteste,가장 오래된,Aîné,పురాతన,Più vecchio,Pinakaluma
rhode,Rhode,罗德,Rhode,रोड,روى,Rhode,Род,ロード,Rhode,Rhode,로드,Rhode,Rhode.,Rhode.,Rhode.
nba,Nba,NBA.,Nba,एनबीए,الدوري الاميركي للمحترفين,NBA.,NBA,n,Nba,Nba.,NBA.,Nba,Nba.,Nba.,NBA.
coordinator,Coordinator,协调员,Coordinador,समन्वयक,منسق,Coordenador,Координатор,コーディネーター,Koordinator,Koordinator,조정자,Coordinateur,సమన్వయకర్త,Coordinatore,Coordinator
obviously,Obviously,明显地,Obviamente,जाहिर है,بوضوح,Obviamente,Очевидно,明らかに,Jelas,Offensichtlich,확실히,Évidemment,సహజంగానే,Ovviamente,Malinaw naman
mercury,Mercury,汞,Mercurio,बुध,الزئبق,Mercúrio,Меркурий,水星,Mercury,Quecksilber,수은,Mercure,మెర్క్యురీ,Mercurio,Mercury.
steven,Steven,史蒂文,Steven,स्टीवन,ستيفن,Steven.,Стерена,スティーブン,Steven,Steven,스티븐,Steven,స్టీవెన్,Steven.,Steven.
handbook,Handbook,手册,Manual,पुस्तिका,كتيب,Manual,Справочник,ハンドブック,Buku handbook,Handbuch,안내서,Manuel,హ్యాండ్ బుక్,Manuale,Handbook.
greg,Greg,格雷格,Greg,ग्रेग,جريج,GREG.,Грег,グレッグ,Greg,Greg,그렉,Greg,గ్రెగ్,Greg.,Greg.
navigate,Navigate,导航,Navegar,नेविगेट,التنقل,Navegar,Навигация,ナビゲートする,Navigasi,Navigieren,탐색,Naviguer,నావిగేట్,Navigare,Mag-navigate
worse,Worse,更差,Peor,ज़्यादा बुरा,أسوأ,Pior,Худший,悪い,Samsaya Awon,Schlechter,더 나쁜,Pire,అధ్వాన్నంగా,Peggio,Mas masahol pa
summit,Summit,首脑,Cumbre,शिखर सम्मेलन,قمة,Cume,Саммит,サミット,Summit,Gipfel,정상 회담,Sommet,సమ్మిట్,Vertice,Summit
victims,Victims,受害者,Víctimas,पीड़ित,ضحايا,Vítimas.,Жертвы,犠牲者,Korban,Die Opfer,피해자,Victimes,బాధితులు,Vittime,Mga biktima
epa,Epa,环保局,EPA,ईपीए,وضح,EPA.,EPA,エポ,EPA,EPA,epa.,EPA,Epa.,EPA.,EPA.
spaces,Spaces,空间,Espacios,खाली स्थान,أماكن,Espaços,Пробелы,スペース,Spasi,Räume,공간,Les espaces,ఖాళీలు,Spazi,Puwang
fundamental,Fundamental,基本的,Fundamental,मौलिक,أساسي,Fundamental,Фундаментальный,基本的,Dhasar,Fundamental.,근본적인,Fondamental,Fundmamental.,Fondamentale,Pundamental.
burning,Burning,燃烧,Incendio,जलता हुआ,احتراق,Queimando,Сжигание,燃焼,Kobong,Verbrennung,타고 있는,Brûlant,బర్నింగ్,Bruciatura,Nasusunog
escape,Escape,逃脱,Escapar,पलायन,هرب,Fuga,Побег,エスケープ,Uwal,Fliehen,탈출하다,Échapper,తప్పించు,Fuga,Escape
coupons,Coupons,优惠券,Cupones,कूपन,كوبونات,Cupons.,купоны,クーポン,Kupon,Gutscheine,쿠폰,Coupons,కూపన్లు,Coupon,Mga Kupon.
somewhat,Somewhat,有些,Algo,कुछ हद तक,قليلا,De alguma forma,В некотором роде,幾分,Semalat,Etwas,약간,Quelque peu,కొంత మేరకు,Un po ',Medyo
receiver,Receiver,接收者,Receptor,रिसीवर,المتلقي,Receptor.,Получатель,受信者,Panrima,Empfänger,수화기,Destinataire,రిసీవర్,Ricevitore,Receiver.
substantial,Substantial,重大的,Sustancial,संतोषजनक,حقيقي,Substancial,Существенный,実質的,Substansial,Erheblich,상당한,Substantiel,గణనీయమైన,Sostanziale,Malaki
tr,Tr,TR.,Tr,टीआर,ثاني,Tr.,Тр,tr,TR,Tr.,기르기,T,Tr.,Tr.,Tr.
progressive,Progressive,进步,Progresivo,प्रगतिशील,تدريجي,Progressivo,Прогрессивный,プログレッシブ,Progresif,Progressiv,진보적 인,Progressive,ప్రోగ్రసివ్,Progressista,Progressive.
cialis,Cialis,cialis.,Cialis,Cialis,سياليس,Cialis.,Cialis,シアリス,Cialis,Cialis,시알리스,Cialis,Cialis.,Cialis.,Cialis.
bb,Bb,BB.,Cama y desayuno,बी बी,ببي,Bb.,BB,b,BB,Bb.,바이스,Bb,Bb.,BB.,Bb.
boats,Boats,船,Barcos,नौकाओं,قوارب,Barcos,Лодки,ボート,Prau,Boote,보트,Bateaux,బోట్లు,Barche,Mga bangka
glance,Glance,瞥,Mirada,झलक,يلمح,Olhar,Взглянуть мельком,一目,Mirit,Blick,섬광,Coup d'œil,చూపు,Occhiata,Sulyap
scottish,Scottish,苏格兰人,escocés,स्कॉटिश,اسكتلندي,escocês,Шотландский,スコットランド,Skotlandia,schottisch,스코틀랜드 사람,Écossais,స్కాటిష్,Scozzese,Scottish
championship,Championship,锦标赛,Campeonato,चैंपियनशिप,بطولة,Campeonato,Чемпионат,チャンピオンシップ,Kejuaraan,Meisterschaft,선수권 대회,Championnat,ఛాంపియన్షిప్,Campionato,Kampeon
arcade,Arcade,拱廊,Arcada,आर्केड,ممر,videogames,Аркада,アーケード,Arcade,Arkade,아케이드,Arcade,ఆర్కేడ్,Arcade,Arcade.
richmond,Richmond,里士满,Richmond,रिचमंड,ريتشموند,Richmond.,Ритмонд,リッチモンド,Richmond,Richmond,리치몬드,Richmond,రిచ్మండ్,Richmond.,Richmond
sacramento,Sacramento,萨克拉门托,Sacramento,सैक्रामेंटो,سكرامنتو,Sacramento.,Сакраменто,サクラメント,Sacramento,Sacramento.,새크라멘토,Sacramento,శాక్రమెంటో,Sacramento.,Sacramento.
impossible,Impossible,不可能的,Imposible,असंभव,مستحيل,Impossível,Невозможно,不可能,Mokal,Unmöglich,불가능한,Impossible,అసాధ్యం,Impossibile,Imposible
ron,Ron,罗恩,Ron,रॉन,رون,Ron.,Рон,ロンズ,Ron,Ron,론,Ron,రాన్,Ron.,Ron.
russell,Russell,罗素,Russell,रसेल,راسل,Russell.,Рассел,ラッセル,Russell,Russell,러셀,Russell,రస్సెల్,Russell,Russell.
tells,Tells,讲,Decir,कहता है,يروي,Diz,Рассказывать,tellう,Ngandhani,Erzählt,말하다,Révéler,చెబుతుంది,Dice,Nagsasabi
obvious,Obvious,明显的,Obvio,ज़ाहिर,بديهي,Óbvio,Очевидный,明らか,Ketok,Offensichtlich,분명한,Évident,స్పష్టమైన,Ovvio,Halata
fiber,Fiber,纤维,Fibra,रेशा,الأساسية,Fibra,Волокно,ファイバ,Serat,Faser,섬유,Fibre,ఫైబర్,Fibra,Hibla
depression,Depression,沮丧,Depresión,अवसाद,كآبة,Depressão,Депрессия,うつ,Depresi,Depression,우울증,Dépression,డిప్రెషన్,Depressione,Depression.
graph,Graph,图形,Grafico,ग्राफ़,رسم بياني,Gráfico,График,グラフ,Grafik,Graph,그래프,Graphique,గ్రాఫ్,Grafico,Graph.
covering,Covering,覆盖,Cubierta,कवर,تغطية,Cobertura,Покрытие,掩う,Nutupi,Abdeckung,피복,Couvrant,కవరింగ్,Copertura,Takip
platinum,Platinum,铂,Platino,प्लैटिनम,البلاتين,Platina,Платина,白金,Platinum,Platin,백금,Platine,ప్లాటినం,Platino,Platinum
judgment,Judgment,判断,Juicio,प्रलय,حكم,Julgamento,Суждение,判定,Pengadilan,Beurteilung,심판,Jugement,తీర్పు,Giudizio,Paghatol
bedrooms,Bedrooms,卧室,Dormitorios,बेडरूम,غرف نوم,Quartos de dormir,Спальни,寝室,Kamar turu,Schlafzimmer,침실,Chambres,బెడ్ రూములు,Camere da letto,Bedrooms.
talks,Talks,会谈,Negociaciones,बाते,محادثات,Conversas,Разговор,話し合い,Dhiskusi,Gespräche,얘기,Pourparlers,చర్చలు,Conversazione,Mga pag-uusap
filing,Filing,归档,Presentación,फाइलिंग,إيداع,Arquivamento,Подача,出願,Filing,Einreichung,줄질,Dépôt,దాఖలు,Deposito,Pag-file
foster,Foster,促进,fomentar,पोषक,عزز,adotivo,взращивать,里親,Foster,fördern,기르다,favoriser,పెంచేవాడు,allevare,Foster
modeling,Modeling,造型,Modelado,मोडलिंग,النمذجة,Modelagem,Моделирование,モデリング,Modeling,Modellieren,모델링,La modélisation,మోడలింగ్,Modellazione,Pagmomolde
passing,Passing,通过,Paso,पासिंग,مرت,Passagem,Прохождение,通過,Lulus,Vorbeigehen,통과,Qui passe,ప్రయాణిస్తున్న,Passante,Pagpasa
awarded,Awarded,颁发,Galardonado,से सम्मानित किया,منحت,Premiado,Награжден,授与されました,Dianugerahi,Vergeben,수여 된 것,Récompensé,అవార్డు,Premiato,Iginawad
testimonials,Testimonials,推荐书,Testimonios,प्रशंसापत्र,الشهادات - التوصيات,Testemunhos,Отзывы,お客様の声,Kaseksén,Referenzen,증언,Témoignages,టెస్టిమోనియల్స్,Testimonianze,Mga testimonial
trials,Trials,审判,Ensayos,परीक्षणों,المحاكمات,Ensaios,Испытания,裁判,Nyoba,Versuche,재판,Essais,ప్రయత్నాలు,Prove,Mga pagsubok
tissue,Tissue,组织,Tejido,ऊतक,منديل,Tecido,Ткань,組織,Tisu,Gewebe,조직,Tissu,కణజాల కణజాలం,Fazzoletto di carta,Tisyu
nz,Nz,NZ.,Nueva Zelanda,न्यूजीलैंड,انتشار,Nz.,NZ.,z,Nz,Nz.,뉴질랜드,Nz,Nz.,Nz.,NZ.
memorabilia,Memorabilia,纪念品,Cosas memorables,यादगार लम्हे,تذكذ,Memorabilia.,Памятные вещи,記念品,Memorabilia,Erinnerungskräfte,기념품,Souvenir des souvenirs,సంభాషణ,Memorabilia.,Memorabilia.
clinton,Clinton,克林顿,Clinton,क्लिंटन,كلينتون,Clinton.,Клинтон,クリントン,Clinton,Clinton,클린턴,Clinton,క్లింటన్,Clinton.,Clinton
masters,Masters,硕士学位,Maestría,मास्टर्स,سادة,Masters.,Мастера,マスターズ,Master,Meister,마스터,Maîtrise,మాస్టర్స్,Masters.,Masters.
bonds,Bonds,债券,Cautiverio,बांड,سندات,Títulos,Облигации,債券,Ikatan,Fesseln,채권,Obligations,బాండ్స్,Obbligazioni,Mga Bonds.
cartridge,Cartridge,墨盒,Cartucho,कारतूस,خرطوشة,Cartucho,Картридж,カートリッジ,Cartridge,Patrone,탄약통,Cartouche,గుళిక,Cartuccia,Kartutso
alberta,Alberta,艾伯塔省,Alberta,अल्बर्टा,ألبرتا,Alberta.,Альберта,アルバータ,Alberta,Alberta,앨버타,Alberta,అల్బెర్టా,Alberta.,Alberta.
explanation,Explanation,解释,Explicación,व्याख्या,تفسير,Explicação,Объяснение,説明,Panjelasan,Erläuterung,설명,Explication,వివరణ,Spiegazione,Paliwanag
folk,Folk,民间,Gente,लोक,قوم,Folk,Фольклор,フォーク,Rakyat,Volk,사람들,Populaire,జానపద,Folk.,Folk
org,Org,org.,Org,संगठन,org.,Org,Ворс,or,Org,Org,org.,Org,Org.,Org.,Org
commons,Commons,comm,Los comunes,लोक,العموم,Commons.,Охватывает,コモンズ,Commons,Commons.,평민,Chambre des communes,కామన్స్,Commons.,Commons
cincinnati,Cincinnati,辛辛那提,Cincinnati,सिनसिनाटी,سينسيناتي,Cincinnati.,Cincinnati.,シンシナティ,Cincinnati,Cincinnati.,신시내티,Cincinnati,సిన్సనిటి,Cincinnati.,Cincinnati
subsection,Subsection,款,Subsección,उपधारा,القسم الفرعي,Subseção,Подраздел,サブセクション,Subsection,Unterabschnitt,일부,Sous-section,ఉపవిభాగం,Sottosezione,Subseksyon
fraud,Fraud,欺诈罪,Fraude,धोखा,تزوير,Fraude,Мошенничество,詐欺,Penipuan,Der Betrug,사기,Fraude,మోసం,Frode,Panloloko
electricity,Electricity,电,Electricidad,बिजली,كهرباء,Eletricidade,Электричество,電気,Listrik,Elektrizität,전기,Électricité,విద్యుత్,Elettricità,Elektrisidad
permitted,Permitted,允许,Permitido,अनुमति है,مباح,Permitido,Разрешенный,許可されています,Diidini,Gestattet,허용,Permis,అనుమతి,Permesso.,Pinahihintulutan
spectrum,Spectrum,光谱,Espectro,स्पेक्ट्रम,نطاق,Espectro,Спектр,スペクトラム,Spektrum,Spektrum,스펙트럼,Spectre,స్పెక్ట్రం,Spettro,Spectrum
arrival,Arrival,到达,Llegada,आगमन,وصول,Chegada,Пребытие,到着,Rawuh,Ankunft,도착,Arrivée,రాక,Arrivo,Pagdating
okay,Okay,好的,Okey,ठीक,تمام,OK,Хорошо,わかった,Oke,Okay,괜찮아,D'accord,సరే,Va bene,Sige
pottery,Pottery,陶器,cerámica,मिट्टी के बर्तनों,فخار,Cerâmica,Гончарность,陶器,Pottery,Keramik,도기류,Poterie,కుండల,Ceramica,Pottery
emphasis,Emphasis,重点,Énfasis,ज़ोर,تشديد,Ênfase,Акцент,強調,Negesake,Betonung,중요성,Accent,ఉద్ఘాటన,Enfasi,Diin
roger,Roger,罗杰,Roger,आरे,حاضر,Roger.,Роджер,ロジャー,Roger,Roger,알았다,Roger,రోజర్,Roger.,Roger.
aspect,Aspect,方面,Aspecto,पहलू,وجه,Aspecto,Аспект,側面,Aspek,Aspekt,측면,Aspect,కారక,Aspetto,Aspeto
workplace,Workplace,工作场所,Lugar de trabajo,कार्यस्थल,مكان العمل,Local de trabalho,Рабочее место,職場,Papan kerja,Arbeitsplatz,직장,Lieu de travail,కార్యనిర్వాహకారము,Posto di lavoro,Lugar ng trabaho
awesome,Awesome,惊人的,Impresionante,बहुत बढ़िया,مذهل,Incrível,Потрясающие,素晴らしい,Apik tenan,Fantastisch,엄청난,Impressionnant,పరమాద్భుతం,Stupendo,Kahanga-hanga
mexican,Mexican,墨西哥人,mexicano,मैक्सिकन,المكسيكي,mexicano,Мексиканский,メキシコ,Meksiko,Mexikaner,멕시코 인,mexicain,మెక్సికన్,messicano,Mexican
confirmed,Confirmed,确认的,Confirmado,की पुष्टि की,مؤكد,Confirmado,Подтвержденный,確認済み,Dikonfirmasi,Bestätigt,확인되었다,Confirmé,ధ్రువీకరించారు,Confermato,Nakumpirma
counts,Counts,算,Recuento,गिनता,العد,Conta,Считается,カウント,Ngitung,Zählt,counts.,Comptes,గణనలు,Conta,Binibilang
priced,Priced,售价,Carillo,कीमत,باهتمام,Preço,Цена,尊厳,Regane,Preisgünstig,가격 책정,Cher,ధర,PREZZO,Presyo
wallpapers,Wallpapers,壁纸,Fondos de pantalla,वॉलपेपर,خلفيات,Papeis de parede,Обои,壁紙,Wallpaper,Hintergrundbilder,배경 화면,Papiers peints,వాల్ పేపర్స్,Sfondi.,Mga Wallpaper
hist,Hist,hist,Hist,ऐतिहासिक,هيست,Hist.,Источник,謙遜,Hist,Historisch,히스토리,Hist,హిస్టో,Hist.,Hisya
crash,Crash,碰撞,Choque,दुर्घटना,يصطدم,Batida,Крушение,クラッシュ,Nabrak,Absturz,충돌,crash,క్రాష్,Incidente,Crash.
lift,Lift,举起,Elevar,उठाना,مصعد,Elevar,Поднимать,リフト,Angkat,Aufzug,승강기,Ascenseur,లిఫ్ట్,Sollevamento,Lift.
desired,Desired,期望,Deseado,इच्छित,مستهدف,Desejado,Желанный,希望の,Dipengini,Gewünscht,원한다,Voulu,కావలసిన,Desiderato,Ninanais
inter,Inter,米,Enterrar,इंटर,وينتر,Inter.,Взаимодействовать,介在,Inter,Interkurs,상호 작용하는 것,Inter,మాటలు,Inter,Inter.
closer,Closer,更近,Más cerca,करीब,أقرب,Mais próximo,Ближе,クローザー,Nyedhaki,Näher,더 가깝다,Plus proche,క్లోజర్,Più vicino,Malapit na
assumes,Assumes,假设,Asume,मान लिया गया है,يفترض,Assume,Предполагаемый,assum,Nganggep,Geht davon aus,가정한다,Suppose,ఊహించు,Assume,Assums.
heights,Heights,高度,Alturas,हाइट्स,المرتفعات,Alturas,Высота,ハイツ,Heights,Höhe,높이,hauteurs,ఎత్తులు,altezza,Heights.
shadow,Shadow,阴影,Sombra,साया,ظل,Sombra,Тень,風邪,Bayangan,Schatten,그림자,Ombre,నీడ,Ombra,Anino
riding,Riding,骑术,Montando,राइडिंग,يركب,Cavalgando,Езда,ライディング,Nunggang,Reiten,승마,Équitation,స్వారీ,Cavalcare,Riding.
infection,Infection,感染,Infección,संक्रमण,عدوى,Infecção,Инфекционное заболевание,感染,Infeksi,Infektion,전염병,Infection,వ్యాధి,Infezione,Impeksiyon
firefox,Firefox,Firefox.,Firefox,फ़ायर्फ़ॉक्स,ثعلب النار,Raposa de fogo,Fire Fox,Firefox.,Firefox,Feuerfuchs,파이어 폭스,Firefox,ఫైర్ఫాక్స్,Firefox.,Firefox.
lisa,Lisa,丽莎,Lisa,लिसा,ليزا,Lisa.,Лиза,リサ,Lisa,Lisa,리사,Lisa,లిసా,Lisa.,Lisa.
expense,Expense,费用,Gastos,व्यय,مصروف,Despesa,Расходы,費用,Biaya,Aufwand,비용,Frais,వ్యయం,Spese,Gastos
grove,Grove,树林,Arboleda,कुंज,بستان,Arvoredo,Роща,茂み,Grove,Hain,작은 숲,Bosquet,గ్రోవ్,Boschetto,Grove
eligibility,Eligibility,合格,Elegibilidad,पात्रता,جدارة - أهلية,Elegibilidade,Право собственности,el el,Kelayakan,Berechtigung,적임,Admissibilité,అర్హత,Eleggibilità,Pagiging karapat-dapat
venture,Venture,冒险,Riesgo,उद्यम,المغامر,Risco,Риск,ベンチャー,Usaha,Wagen,투기,Entreprise,వెంచర్,Avventurarsi,Venture.
clinic,Clinic,诊所,Clínica,क्लिनिक,عيادة,Consultório,Клиника,診療所,Klinik,Klinik,진료소,Clinique,క్లినిక్,Clinica,Klinika
korean,Korean,韩国人,coreano,कोरियाई,الكورية,coreano,корейский язык,韓国語,Korea,Koreanisch,한국인,coréen,కొరియన్,coreano,Koreano
healing,Healing,康复,Curación,घाव भरने वाला,شفاء,Cura,Выздоровление,ヒーリング,Penyembuhan,Heilung,치유,Guérison,హీలింగ్,Guarigione,Paglunas
princess,Princess,公主,princesa,राजकुमारी,أميرة,Princesa,Принцесса,王女,Putri,Prinzessin,공주님,Princesse,ప్రిన్సెస్,Principessa,Prinsesa
mall,Mall,购物中心,Centro comercial,मॉल,مجمع تجاري,Shopping center,Торговый центр,モール,Mall,Einkaufszentrum,쇼핑 센터,Galerie marchande,మాల్,Centro commerciale,Mall.
entering,Entering,进入,Entrando,में प्रवेश कर,دخول,Entrando,Войти,入る,Mlebu,Eintreten,입력,Pénétrant,ఎంటర్ చేయడం,Entrando,Pagpasok
packet,Packet,包,Paquete,पैकेट,رزمة,Pacote,Пакет,パケット,Paket,Paket,패킷,Paquet,ప్యాకెట్,Pacchetto,Packet.
spray,Spray,喷,Rociar,फुहार,رش,Spray,Спрей,噴射,Semprotan,Sprühen,스프레이,Vaporisateur,స్ప్రే,Spray,Wisik
studios,Studios,一室公寓,Estudios,स्टूडियो,استوديوهات,Estúdios,Студий,スタジオ,Studios,Studios,스튜디오,Studios,స్టూడియోస్,Monolocali,Studios.
involvement,Involvement,参与,Intervención,भागीदारी,إشراك,Envolvimento,Участие,関与する,Keterlibatan,Beteiligung,참여,Participation,ప్రమేయం,Coinvolgimento,Paglahok
dad,Dad,爸爸,Padre,पापा,أب,Pai,Папа,お父さん,Bapak,Vati,아빠,Père,తండ్రి,Papà,Tatay
buttons,Buttons,纽扣,Botones,बटन,أزرار,Botons.,Кнопки,ボタン,Tombol,Tasten,단추,Boutons,బటన్లు,Pulsanti,Pindutan
placement,Placement,放置,Colocación,प्लेसमेंट,تحديد مستوى,Colocação,Размещение,配置,Panggonan,Platzierung,놓기,Placement,స్థానభ్రంశము,Posizionamento,Placement
observations,Observations,观察,Observaciones,टिप्पणियों,الملاحظات,Observações,Наблюдения,見通し,Pengamatan,Beobachtungen,관측,Observations,పరిశీలనలు,Osservazioni,Mga obserbasyon
vbulletin,Vbulletin,vbulletin.,Vbulletin,चोटी,vBulletin.,Vbulletin.,VBulletin.,vbulletin,Vbulletin,Vbulletin,vbulletin.,Vbulletin,Vbulletin.,Vbulletin.,VBulletin.
funded,Funded,资助,Fundado,वित्त पोषित,ممول,Financiado,Финансируется,資金援助,Mbiayai,Finanziert,자금 조달,Financé,నిషేధించబడింది,Finanziato,Pinondohan
thompson,Thompson,汤普森,Thompson,थॉम्पसन,طومسون,Thompson.,Томпсон,トンプソン,Thompson,Thompson,톰슨,Thompson,థాంప్సన్,Thompson.,Thompson.
winners,Winners,赢家,Ganadores,विजेताओं,الفائزين,Vencedores,Победитель,勝者,Pemenang,Gewinner,수상자,Gagnants,విజేతలు,Vincitori,Nanalo
extend,Extend,延长,Ampliar,विस्तार,يمتد,Ampliar,Продлевать,拡張する,Ngluwihi,Erweitern,연장하다,Se déployer,విస్తరించు,Estendere,Pahabain
roads,Roads,道路,Carreteras,सड़कें,الطرق,Estradas,Дороги,道路,Dalan,Straßen,도로,Routes,రహదారులు,Strade,Mga kalsada
subsequent,Subsequent,随后的,Subsecuente,बाद का,تالي,Subseqüente,Последующий,後続,Sakteruse,Anschließend,이후에,Subséquent,తదుపరి,Successivo,Kasunod
pat,Pat,拍,Palmadita,थपथपाना,تربيتة,Pat.,Патент,パット,Pat,Klopfen,가볍게 두드리기,Tapoter,పాట్,colpetto,Pat.
dublin,Dublin,都柏林,Dublín,डबलिन,دبلن,Dublin,Дублин,ダブリン,Dublin,Dublin.,더블린,Dublin,డబ్లిన్,Dublino,Dublin.
rolling,Rolling,滚动,Laminación,रोलिंग,المتداول,Rolando,Прокат,圧延,Nggulung,Rollend,구르는,Roulant,రోలింగ్,Rotolante,Rolling.
fell,Fell,fell,Cayó,गिर गया,يسقط,Caiu,Упал,落ちた,Ambruk,Fiel,쓰러 뜨리다,Est tombée,పడిపోయింది,Caduto,Nahulog
motorcycle,Motorcycle,摩托车,Motocicleta,मोटरसाइकिल,دراجة نارية,Motocicleta,Мотоцикл,オートバイ,Pit motor,Motorrad,오토바이,Moto,మోటార్ సైకిల్,Motociclo,Motorsiklo
yard,Yard,院子,Yarda,यार्ड,حديقة منزل,Quintal,Площадка,ヤード,Yard,Garten,마당,Cour,యార్డ్,Iarda,Bakuran
disclosure,Disclosure,披露,Divulgación,प्रकटीकरण,إفشاء,Divulgação,Раскрытие,開示,Pambocoran,Offenlegung,폭로,Divulgation,బహిర్గతం,Divulgazione,Pagbubunyag
establishment,Establishment,建立,Establecimiento,स्थापना,مؤسسة,Estabelecimento,Учреждение,確率,Panyiapan,Einrichtung,설립,Établissement,స్థాపన,Istituzione,Pagtatatag
memories,Memories,记忆,Recuerdos,यादें,ذكريات,Recordações,Воспоминания,メモリーズ,Kenangan,Erinnerungen,기억,Souvenirs,జ్ఞాపకాలు,Ricordi,Mga alaala
nelson,Nelson,纳尔逊,Nelson,नेल्सन,نيلسون,Nelson.,Нельсон,ネルソン,Nelson,Nelson,넬슨,Nelson,నెల్సన్,Nelson.,Nelson.
te,Te,te.,Te,ते,تايم,Tea,Тэ.,テオリー,Te,TE.,테,Te,Te.,Te,Te.
arrived,Arrived,到达的,Llegó,पहुंच गए,وصل,Chegado,Прибывший,到着した,Teka,Ist eingetroffen,도착했다,Arrivée,వచ్చారు,È giunto,Dumating.
creates,Creates,创造,Crea,बनाता है,يخلق,Cria,Создает,創立する,Nggawe,Schafft,창조,Crée,సృష్టిస్తుంది,Crea,Lumilikha
faces,Faces,脸上,Caras,चेहरे के,وجوه,Rostos,Грани,顔面,Ngadhepi,Gesichter,얼굴,Visages,ముఖాలు,Facce,Mukha
tourist,Tourist,游客,Turista,पर्यटक,سائح,Turista,Турист,ツーリスト,Turis,Tourist,관광객,Touristique,పర్యాటక,Turista,Turista
av,Av,AV.,AV,ए वी,أه,Av.,Средний,av,Av,Ein V,AV.,Un V,AV.,Av.,Av
mayor,Mayor,市长,Alcalde,महापौर,عمدة,prefeito,Мэр,市長,Walikota,Bürgermeister,시장,Maire,మేయర్,Sindaco,Mayor.
murder,Murder,谋杀,Asesinato,हत्या,قتل,Assassinato,Убийство,殺人,Pembunuhan,Mord,살인,Meurtre,మర్డర్,Omicidio,Pagpatay
sean,Sean,肖恩,Sean,शॉन,شون,Sean.,Севан,売り手,Sean,Sean,숀,Sean,సీన్,Sean.,Sean.
adequate,Adequate,足够的,Adecuado,पर्याप्त,مناسب,Adequado,Адекватный,適切,Cekap,Angemessene,적당한,Adéquat,తగినంత,Adeguato,Sapat
senator,Senator,参议员,Senador,सीनेटर,سيناتور,Senador,Сенатор,上院議員,Senator,Senator,평의원,Sénateur,సెనేటర్,Senatore,Senador
yield,Yield,屈服,Producir,उपज,أثمر,Produção,Урожай,収率,Ngasilake,Ertrag,생산하다,Rendement,దిగుబడి,Prodotto,Ani
presentations,Presentations,介绍,Presentaciones,प्रस्तुतियों,العروض التقديمية,Apresentações.,Презентации,プレゼンテーション,Presentasi,Präsentationen,프레젠테이션,Présentations,ప్రదర్శనలు,Presentazioni,Mga pagtatanghal
grades,Grades,成绩,Los grados,ग्रेड,درجات,Notas,Оценки,グレード,Gelar,Noten,성적,Grades,తరగతులు,gradi,Grado
cartoons,Cartoons,漫画,Caricaturas,कार्टून,كاريكاتير,Cartoons.,Мультфильмы,漫画,Kartun,Cartoons.,만화,Les dessins animés,కార్టూన్లు,Cartoni animati,Cartoons
pour,Pour,倒,Verter,बहना,يصب,Derramar,Залить,注ぐ,Pour,Gießen,붓다,Verser,పోయాలి,Versare,Ibuhos
digest,Digest,消化,Digerir,संग्रह,استوعب,Digerir,Переварить,ダイジェスト,Digest,Verdauen,요람,Digérer,జీర్ణం,digerire,Digest
reg,Reg,reg,Reg,रेग,ريج,Reg.,Рег,登録,Reg,Register,reg.,Registre,Reg.,Remi,Reg.
lodging,Lodging,住宿,Alojamiento,अस्थायी आवास,إقامة,Alojamento,Проживание,宿泊,Lodging,Unterkunft,하숙,Hébergement,లాడ్జింగ్,Alloggio,Tuluyan
tion,Tion,t,Cación,टायन,نشوئ,Ção,Выравнивание,t.,Tion,Tion.,...에 관한 것,Tion,Tion.,Zione,Tion.
dust,Dust,灰尘,Polvo,धूल,تراب,Pó,Пыль,ほこり,Bledug,Staub,먼지,Poussière,దుమ్మురాయి,Polvere,Dust.
hence,Hence,因此,Por eso,अत,بالتالي,Portanto,Следовательно,それゆえに,Mula,Somit,따라서,D'où,అందువల్ల,Quindi,Kaya nga
wiki,Wiki,Wiki.,Wiki,विकि,ويكي,Wiki.,Вики,ウィキ,Wiki,Wiki,위키,Wiki,వికీ,Wiki.,Wiki.
entirely,Entirely,完全,Enteramente,पूरी तरह से,تماما,Inteiramente,Полностью,全体的に,Kabeh,Völlig,전적으로,Entièrement,పూర్తిగా,Interamente,Buo
